Name,Caught Stealing,Rank
Rickey Henderson,335,1
Ty Cobb,318,2
Lou Brock,307,3
Brett Butler,257,4
Max Carey,246,5
Tris Speaker,239,6
Maury Wills,208,7
Juan Pierre,203,8
Bert Campaneris,199,9
Rod Carew,187,10
Otis Nixon,186,11
Omar Moreno,182,12
Cesar Cedeno,179,13
Steve Sax,178,14
Vince Coleman,177,15
Eddie Collins,173,16
Bobby Bonds,169,17
Eric Young,168,18
Omar Vizquel,167,19
Rabbit Maranville,163,20
Joe Morgan,162,21
Bill North,162,
Kenny Lofton,160,23
Stan Hack,153,24
Pete Rose,149,25
Ozzie Smith,148,26
Delino DeShields,147,27
Tim Raines,146,28
Luis Polonia,145,29
Sam Rice,143,30
Juan Samuel,143,
Luis Castillo,142,32
Ron LeFlore,142,
Barry Bonds,141,34
Lonnie Smith,140,35
George Burns,139,36
Jose Cardenal,139,
Dave Collins,139,
Tony Fernandez,138,39
Harold Reynolds,138,
Luis Aparicio,136,41
Jose Cruz,136,
Ben Chapman,135,43
Wally Pipp,135,
Alfredo Griffin,134,45
Claudell Washington,134,
Willie Wilson,134,
Willie Davis,131,48
Paul Molitor,131,
Freddie Patek,131,
Cy Williams,131,
Minnie Minoso,130,52
Garry Templeton,129,53
Bobby Abreu,128,54
Jose Reyes,127,55
George Sisler,127,
Tony Gwynn,125,57
Sparky Adams,124,58
Craig Biggio,124,
Enos Cabell,124,
Vada Pinson,122,61
Harry Hooper,121,62
Willie McGee,121,
Don Baylor,120,64
Chone Figgins,119,65
Mark McLemore,119,
Steve Finley,118,67
Tom Goodwin,118,
Pat Kelly,118,
Chuck Knoblauch,117,70
Ray Lankford,117,
Babe Ruth,117,
Ichiro Suzuki,117,
Roy White,117,
Marquis Grissom,116,75
Tommy Harper,116,
Carl Yastrzemski,116,
Elvis Andrus,115,78
Reggie Jackson,115,
Reggie Sanders,115,
Roberto Alomar,114,81
Davey Lopes,114,
Tony Phillips,114,
Dave Parker,113,84
Lenny Randle,112,85
Ray Chapman,111,86
Jim Gilliam,111,
Tony Taylor,111,
Charlie Jamieson,110,89
George Case,109,90
Dave Concepcion,109,
Carl Crawford,109,
Andre Dawson,109,
Buddy Myer,109,
Alan Trammell,109,
Luke Appling,108,96
Rajai Davis,108,
Ozzie Guillen,108,
Del Pratt,108,
Edgar Renteria,108,
Cesar Tovar,108,
Julio Franco,107,102
Darren Lewis,107,
Ryne Sandberg,107,
Sammy Sosa,107,
Frank Taveras,106,106
Ken Williams,106,
Larry Bowa,105,108
Don Buford,105,
Phil Garner,105,
Lance Johnson,105,
Bob Meusel,105,
Johnny Mostil,105,
Jimmy Rollins,105,
Robin Yount,105,
Carney Lansford,104,116
Gary Pettis,104,
Scott Podsednik,104,
Gary Sheffield,104,
Johnny Damon,103,120
Willie Mays,103,
Fred Merkle,103,
Ron Gant,102,123
Dee Strange-Gordon,102,
Lou Gehrig,101,125
Jimmy Wynn,101,
Brady Anderson,100,127
Royce Clayton,100,
Starling Marte,100,
Jose Offerman,100,
Bobby Tolan,100,
Rogers Hornsby,99,132
Torii Hunter,99,
Terry Puhl,99,
Jerry Remy,99,
Darryl Strawberry,99,
Chad Curtis,98,137
Chili Davis,98,
Devon White,98,
Mookie Wilson,98,
George Brett,97,141
Ray Durham,97,
Von Hayes,97,
Derek Jeter,97,
Greg Gagne,96,145
Dave Winfield,96,
Jose Altuve,95,147
Bip Roberts,95,
Jerry Royster,95,
Michael Bourn,94,150
Jack Fournier,94,
Rafael Furcal,94,
Vladimir Guerrero,94,
Toby Harrah,94,
Dave Martinez,94,
Willie Randolph,94,
Paul Blair,93,157
Bill Doran,93,
Dan Gladden,93,
Amos Otis,93,
Hanley Ramirez,93,
Burt Shotton,93,
Richie Ashburn,92,163
Al Bumbry,92,
Joe Judge,92,
Garry Maddox,92,
Raul Mondesi,92,
Lloyd Moseby,92,
Edd Roush,92,
Mike Schmidt,92,
Everett Scott,92,
Derrel Thomas,92,
B.J. Upton,92,
Bucky Harris,91,174
Marty McManus,91,
Rick Monday,91,
Damaso Garcia,90,177
Joe Kuhel,90,
Bill Madlock,90,
Lee Mazzilli,90,
Mickey Rivers,90,
Arky Vaughan,90,
Mickey Vernon,90,
Bill Bruton,89,184
Charlie Gehringer,89,
Goose Goslin,89,
Jason Kendall,89,
Andrew McCutchen,89,
Gene Richards,89,
Jose Canseco,88,190
Ivan DeJesus,88,
Gee Walker,88,
Ossie Bluege,87,193
Luis Gonzalez,87,
Billy Hatcher,87,
Bernie Williams,87,
Jimmy Austin,86,197
Lee Lacy,86,
Brian McRae,86,
Reggie Smith,86,
Amos Strunk,86,
Lu Blue,85,202
Don Kessinger,85,
Billy Southworth,85,
Ellis Burks,84,205
Pat Duncan,84,
Ruppert Jones,84,
Willie Kamm,84,
Roberto Kelly,84,
Brandon Phillips,84,
Alfonso Soriano,84,
B.J. Surhoff,84,
Bobby Veach,84,
Randy Winn,84,
Bob Bailey,83,215
Mike Cameron,83,
Shano Collins,83,
Ralph Garr,83,
Bobby Grich,83,
Ken Griffey,83,
Jimmy Johnston,83,
Gary Redus,83,
Quilvio Veras,83,
Frank White,83,
Ross Youngs,83,
Shawon Dunston,82,226
Tony Lazzeri,82,
Bing Miller,82,
Tommie Agee,81,229
Pete Fox,81,
Andres Galarraga,81,
Wally Moses,81,
Sandy Alomar,80,233
Matty Alou,80,
Orlando Cepeda,80,
Nellie Fox,80,
Charlie Hollocher,80,
Roy Johnson,80,
Jerry Mumphrey,80,
Babe Pinelli,80,
Buddy Bell,79,241
Coco Crisp,79,
Elmer Valo,79,
Jeff Bagwell,78,244
Julio Cruz,78,
Jake Daubert,78,
Miguel Dilone,78,
Jim Gantner,78,
Kirk Gibson,78,
John Lowenstein,78,
Rick Manning,78,
Hal McRae,78,
Clyde Milan,78,
Ken Boyer,77,254
Howard Johnson,77,
Barry Larkin,77,
Alex Rios,77,
Frank Robinson,77,
Juan Beniquez,76,259
Ernie Johnson,76,
Chet Lemon,76,
Kirby Puckett,76,
Alex Rodriguez,76,
Larry Walker,76,
Dave Bancroft,75,265
Mark Belanger,75,
Donie Bush,75,
Cliff Heathcote,75,
Bobby Murcer,75,
Gerald Perry,75,
Rafael Ramirez,75,
Milt Stock,75,
Lou Whitaker,75,
Dave Cash,74,274
Al Cowens,74,
Frankie Frisch,74,
Carlos Gómez,74,
Ian Kinsler,74,
Gary Matthews,74,
Bill Wambsganss,74,
Tony Womack,74,
Hank Aaron,73,282
Dusty Baker,73,
Kevin Bass,73,
Dante Bichette,73,
Bill Buckner,73,
Doc Cramer,73,
Curt Flood,73,
Darryl Hamilton,73,
Dave Nelson,73,
Paul O'Neill,73,
Brian Roberts,73,
Jean Segura,73,
Mitch Webster,73,
Gerald Young,73,
Lenny Dykstra,72,296
Jimmie Foxx,72,
Don Gutteridge,72,
Billy Hamilton,72,
Billy Herman,72,
Eddie Milner,72,
Joe Sewell,72,
Whitey Witt,72,
Earle Combs,71,304
Joe Cronin,71,
Jacoby Ellsbury,71,
Max Flack,71,
Chick Galloway,71,
Bernard Gilkey,71,
Duane Kuiper,71,
Shannon Stewart,71,
Tom Brunansky,70,312
Ben Oglivie,70,
Roger Peckinpaugh,70,
Jim Rivera,70,
Buck Weaver,70,
"Ken Griffey, Jr.",69,317
Julio Lugo,69,
Bill Russell,69,
Benito Santiago,69,
Ray Schalk,69,
Tony Scott,69,
Carson Bigbee,68,323
Rick Burleson,68,
George Cutshaw,68,
Darrell Evans,68,
Dexter Fowler,68,
Larry Gardner,68,
Cristian Guzman,68,
Jerry Hairston,68,
Tommy McCraw,68,
Wally Moon,68,
Dale Murphy,68,
Frank O'Rourke,68,
Cookie Rojas,68,
Billy Werber,68,
Bill White,68,
Alan Wiggins,68,
Jim Wohlford,68,
Felipe Alou,67,340
Jack Smith,67,
Fernando Vina,67,
Joe Carter,66,343
Eric Davis,66,
Heinie Groh,66,
Matt Lawton,66,
Milt Thompson,66,
Jonathan Villar,66,
Tim Wallach,66,
Eddie Yost,66,
Gary Gaetti,65,351
Al Kaline,65,
Rudy Law,65,
Al Martin,65,
Ski Melillo,65,
Rick Miller,65,
Bump Wills,65,
David Wright,65,
Bobby Doerr,64,359
Brett Gardner,64,
Harry Heilmann,64,
Tom Herr,64,
Bob Johnson,64,
Mark Kotsay,64,
Al Oliver,64,
Corey Patterson,64,
Alexei Ramirez,64,
Ivan Rodriguez,64,
Howie Shanks,64,
Al Simmons,64,
George Burns,63,371
Roger Cedeno,63,
Bill Cissell,63,
Bob Dernier,63,
Dan Driessen,63,
Keith Hernandez,63,
Julian Javier,63,
Gregg Jefferies,63,
Alex Johnson,63,
Matt Kemp,63,
Heinie Manush,63,
Bake McBride,63,
Greasy Neale,63,
Tony Pena,63,
Dave Philley,63,
Deion Sanders,63,
Bill Terry,63,
Dickie Thon,63,
Erick Aybar,62,389
Phil Bradley,62,
Frankie Crosetti,62,
David DeJesus,62,
Dom DiMaggio,62,
Steve Garvey,62,
Adam Kennedy,62,
Spike Owen,62,
Billy Rogell,62,
Rodney Scott,62,
Robby Thompson,62,
Jack Tobin,62,
Jose Vizcaino,62,
John Cangelosi,61,402
Jack Clark,61,
Leon Durham,61,
Tony Gonzalez,61,
Larry Hisle,61,
Brian Hunter,61,
Joe Jackson,61,
Jeffrey Leonard,61,
Dwayne Murphy,61,
Bill Almon,60,411
Jay Bell,60,
Don Blasingame,60,
Ryan Braun,60,
Tom Brookens,60,
Joey Cora,60,
Bernie Friberg,60,
Joe Gordon,60,
Bud Harrelson,60,
Jeff Kent,60,
Ken Landreaux,60,
Nemo Leibold,60,
Joe Orsulak,60,
Jorge Orta,60,
José Ramírez,60,
Red Schoendienst,60,
Del Unser,60,
Charlie Blackmon,59,428
Sam Bohne,59,
Alex Cole,59,
Tommy Davis,59,
Juan Encarnacion,59,
Dwight Evans,59,
Pinky Higgins,59,
Andruw Jones,59,
Buddy Lewis,59,
Dick McAuliffe,59,
Stuffy McInnis,59,
Terry Pendleton,59,
Muddy Ruel,59,
Denard Span,59,
Jim Tabor,59,
Willie Upshaw,59,
Justin Upton,59,
Andy Van Slyke,59,
Greg Vaughn,59,
Ralph Young,59,
Mike Bordick,58,448
Jeromy Burnitz,58,
Horace Clarke,58,
Vic Davalillo,58,
Darin Erstad,58,
Carlton Fisk,58,
Ira Flagstead,58,
Scott Fletcher,58,
Frankie Gustine,58,
Steve Henderson,58,
Felipe Lopez,58,
Jo-Jo Moore,58,
Phil Rizzuto,58,
Dave Roberts,58,
Alex Sanchez,58,
Fred Schulte,58,
Marvell Wynne,58,
Earl Averill,57,465
Bobby Bonilla,57,
Orlando Cabrera,57,
Donn Clendenon,57,
Mariano Duncan,57,
Larry Herndon,57,
Felix Jose,57,
Charlie Moore,57,
Jerry Morales,57,
John Moses,57,
Jim Piersall,57,
Dave Robertson,57,
George Scott,57,
Manny Trillo,57,
Gerald Williams,57,
Hubie Brooks,56,480
Mike Davis,56,
Ian Desmond,56,
Mike Devereaux,56,
Damion Easley,56,
Red Kress,56,
Harvey Kuenn,56,
Doc Lavan,56,
Whit Merrifield,56,
Hy Myers,56,
Ray Powell,56,
Johnny Roseboro,56,
Michael Tucker,56,
Jose Valentin,56,
Sam West,56,
Tony Bernazard,55,495
Shin-Soo Choo,55,
Jimmy Dykes,55,
Tim Foli,55,
Lee Handley,55,
Ron Hunt,55,
Jackie Jensen,55,
Cameron Maybin,55,
Melvin Mora,55,
Al Newman,55,
Tony Oliva,55,
Mitchell Page,55,
Gerardo Parra,55,
Hunter Pence,55,
Harry Rice,55,
Snuffy Stirnweiss,55,
Preston Wilson,55,
Joel Youngblood,55,
Carl Everett,54,513
Lenny Harris,54,
Baby Doll Jacobson,54,
Jay Johnstone,54,
Don Kolloway,54,
Fred Lynn,54,
Elliott Maddox,54,
Eric McNair,54,
Denis Menke,54,
Chris Speier,54,
Rennie Stennett,54,
Bill Virdon,54,
Brad Ausmus,53,525
Ernie Banks,53,
Bret Boone,53,
Dee Fondy,53,
Eddie Foster,53,
George Grantham,53,
Bobby Higginson,53,
Cesar Izturis,53,
Mike Kreevich,53,
Carlos May,53,
Oddibe McDowell,53,
Irish Meusel,53,
Ben Revere,53,
U.L. Washington,53,
Possum Whitted,53,
Herm Winningham,53,
Dick Allen,52,541
Bobby Avila,52,
Wally Backman,52,
Chuck Carr,52,
Starlin Castro,52,
Bob Fothergill,52,
Shawn Green,52,
Mark Grudzielanek,52,
Chick Hafey,52,
Rougned Odor,52,
Ruben Sierra,52,
Derek Bell,51,552
Willie Bloomquist,51,
Johnny Callison,51,
Johnny Hopp,51,
Sonny Jackson,51,
Stan Javier,51,
Jim Landis,51,
Johnnie LeMaster,51,
Russell Martin,51,
Don Money,51,
Nyjer Morgan,51,
Angel Pagan,51,
Pete Runnels,51,
Luis Salazar,51,
John Stearns,51,
Trea Turner,51,
Todd Zeile,51,
Luis Alicea,50,569
Bob Allison,50,
Bill Barrett,50,
Max Bishop,50,
Bob Boone,50,
Daryl Boston,50,
Lou Boudreau,50,
Bruce Campbell,50,
Doc Cook,50,
Bob Dillinger,50,
Jim Edmonds,50,
Curtis Granderson,50,
Bryce Harper,50,
Chuck Hinton,50,
Walter Holke,50,
Bob Kennedy,50,
Thurman Munson,50,
Eddie Murphy,50,
Magglio Ordonez,50,
Duke Snider,50,
Roy Weatherly,50,
Ronald Acuña Jr.,49,590
Carlos Beltran,49,
Emilio Bonifacio,49,
Johnny Briggs,49,
Ivan Calderon,49,
Cecil Cooper,49,
Craig Counsell,49,
Jarrod Dyson,49,
Bibb Falk,49,
Myril Hoag,49,
Dave Kingman,49,
Lyn Lary,49,
DJ LeMahieu,49,
Tim McCarver,49,
Johnny Pesky,49,
Johnny Ray,49,
Bill Robinson,49,
Scott Rolen,49,
Chris Sabo,49,
Wally Schang,49,
Kevin Seitzer,49,
Ryan Theriot,49,
Gorman Thomas,49,
Zack Wheat,49,
Billy Williams,49,
Kevin Young,49,
Ben Zobrist,49,
Lance Berkman,48,617
Jim Busby,48,
Leo Cardenas,48,
Will Clark,48,
Doug DeCinces,48,
Joe Foy,48,
Ryan Freel,48,
Alex Gonzalez,48,
Mark Grace,48,
Oris Hockett,48,
Miller Huggins,48,
Doc Johnston,48,
Cleon Jones,48,
Eddie Joost,48,
Brian Jordan,48,
Larry Kopf,48,
Derrek Lee,48,
Eric Owens,48,
Carl Reynolds,48,
Bobby Richardson,48,
Johnny Temple,48,
Zoilo Versalles,48,
Jo-Jo White,48,
Garret Anderson,47,640
Jesse Barfield,47,
Jack Burns,47,
Chick Fewster,47,
Hod Ford,47,
Tito Fuentes,47,
Wally Gerber,47,
Pedro Guerrero,47,
Carlos Guillen,47,
Jeff Heath,47,
George Hendrick,47,
Harvey Hendrick,47,
Don Hoak,47,
Howie Kendrick,47,
Freddy Leach,47,
Carlos Lee,47,
Duffy Lewis,47,
Francisco Lindor,47,
Dave May,47,
Dale Mitchell,47,
Ken Oberkfell,47,
Grady Sizemore,47,
Elmer Smith,47,
Thurman Tucker,47,
Tilly Walker,47,
Jimmy Walsh,47,
Rondell White,47,
Jesus Alou,46,667
Max Alvis,46,
Sal Bando,46,
Ken Berry,46,
Tony Boeckel,46,
Roberto Clemente,46,
Mickey Cochrane,46,
Mike Felder,46,
Chipper Jones,46,
David Justice,46,
Bill Knickerbocker,46,
Dustin Pedroia,46,
Ted Sizemore,46,
Jigger Statz,46,
Pie Traynor,46,
Jose Uribe,46,
Shane Victorino,46,
Honus Wagner,46,
Burgess Whitehead,46,
Chris Young,46,
Jerry Browne,45,687
Frank Demaree,45,
David Eckstein,45,
Alcides Escobar,45,
Lou Finney,45,
Brian Giles,45,
Alex Gordon,45,
Odell Hale,45,
Ender Inciarte,45,
Austin Jackson,45,
Jacque Jones,45,
Eddie Lake,45,
Leonys Martin,45,
Eddie Miller,45,
Mickey Morandini,45,
Neifi Perez,45,
Pee Wee Reese,45,
Joe Stripp,45,
Gene Woodling,45,
Norichika Aoki,44,706
Rube Bressler,44,
Lorenzo Cain,44,
Alejandro De Aza,44,
Gary DiSarcina,44,
Brian Downing,44,
Charlie Grimm,44,
Greg Gross,44,
Roy Hartzell,44,
Mike Jorgensen,44,
Quinton McCracken,44,
Gil McDougald,44,
Adolfo Phillips,44,
Jerry Priddy,44,
Jody Reed,44,
Anthony Rizzo,44,
Luke Sewell,44,
Willy Taveras,44,
Bill Tuttle,44,
Randy Arozarena,43,725
Marvin Benard,43,
Johnny Bench,43,
Vinny Castilla,43,
Harlond Clift,43,
Cliff Floyd,43,
Mike Greenwell,43,
Jason Heyward,43,
Todd Hollandsworth,43,
Rex Hudler,43,
High Pockets Kelly,43,
Shane Mack,43,
Felix Millan,43,
Eddie Murray,43,
Dode Paskert,43,
Albert Pujols,43,
Al Smith,43,
Bill Spiers,43,
Casey Stengel,43,
Brad Wilkerson,43,
Curtis Wilkerson,43,
Matt Alexander,42,746
Adrián Beltré,42,
Gary Carter,42,
Endy Chavez,42,
Tommy Griffith,42,
Johnny Groth,42,
Ken Henderson,42,
Willie Montanez,42,
Manny Mota,42,
Tim Salmon,42,
Gene Tenace,42,
Albert Belle,41,757
Jeff Blauser,41,
Bruce Bochte,41,
Leo Durocher,41,
Lenny Green,41,
Thomas Howard,41,
Hal Janvrin,41,
Ryan Klesko,41,
Eddie Mayo,41,
Earl McNeely,41,
James Mouton,41,
Shohei Ohtani,41,
Lou Piniella,41,
Rick Reichardt,41,
Braggo Roth,41,
Ron Santo,41,
Dick Schofield,41,
Wayne Tolleson,41,
Eric Yelding,41,
Gregor Blanco,40,776
Milton Bradley,40,
Sid Bream,40,
Jay Bruce,40,
Miguel Cairo,40,
Gene Clines,40,
Denny Doyle,40,
Cecil Espy,40,
Junior Felix,40,
Jim Fregosi,40,
Cesar Geronimo,40,
Bill Hall,40,
Willie Harris,40,
Corey Hart,40,
Mike Heath,40,
Richie Hebner,40,
Tommy Helms,40,
César Hernández,40,
Brandon Inge,40,
Mack Jones,40,
Von Joshua,40,
Manny Machado,40,
Dylan Moore,40,
Rafael Palmeiro,40,
Marcus Semien,40,
John Shelby,40,
George Springer,40,
John Stone,40,
Zeb Terry,40,
Mark Whiten,40,
Bobby Witt Jr.,40,
Rich Amaral,39,807
Mookie Betts,39,
Barry Bonnell,39,
Ken Caminiti,39,
José Cruz,39,
Vince DiMaggio,39,
Jeff Francoeur,39,
Damian Jackson,39,
Wally Joyner,39,
Kevin Kiermaier,39,
Ed Kirkpatrick,39,
Manuel Margot,39,
Eddie Mathews,39,
Bernie Neis,39,
Skeeter Newsome,39,
Cal Ripken Jr.,39,
Earl Torgeson,39,
Juan Uribe,39,
Christian Yelich,39,
Eric Young Jr.,39,
Frank Bolling,38,827
Bob Brenly,38,
Jimmy Brown,38,
Everth Cabrera,38,
Robinson Cano,38,
Dave Chalk,38,
Sam Chapman,38,
Gil Coan,38,
Billy Cox,38,
Joe Dugan,38,
Jim Eisenreich,38,
Todd Frazier,38,
Travis Fryman,38,
Dave Henderson,38,
Jose Hernandez,38,
Glenallen Hill,38,
Willie Horton,38,
José Iglesias,38,
Dion James,38,
Mike Lansing,38,
Larry Lintz,38,
Pat Listach,38,
Tony Lupien,38,
Mickey Mantle,38,
Fred McGriff,38,
Jim Northrup,38,
Eduardo Nunez,38,
Alex Ochoa,38,
Tom Paciorek,38,
Jake Powell,38,
Yasiel Puig,38,
Manny Sanguillen,38,
Paul Schaal,38,
Miguel Tejada,38,
Mike Trout,38,
Robin Ventura,38,
Curt Walker,38,
Aaron Ward,38,
Kolten Wong,38,
Moises Alou,37,866
Alan Bannister,37,
Jason Bartlett,37,
Casey Blake,37,
Frenchy Bordagaray,37,
Melky Cabrera,37,
Jeff Cirillo,37,
Warren Cromartie,37,
J.D. Drew,37,
Dan Ford,37,
Adam Frazier,37,
Oscar Gamble,37,
Mike Hargrove,37,
Josh Harrison,37,
Matt Holliday,37,
Yadier Molina,37,
Jim Morrison,37,
Jim Norris,37,
Lance Parrish,37,
Darrell Porter,37,
Dwight Smith,37,
Jim Sundberg,37,
Andre Thornton,37,
Ellis Valentine,37,
Randy Velarde,37,
Todd Walker,37,
Vernon Wells,37,
Bob Bailor,36,893
George Bell,36,
Jamey Carroll,36,
Marty Cordova,36,
Willie Crawford,36,
Larry Doby,36,
Brian Dozier,36,
Hoot Evers,36,
Lew Fonseca,36,
Doug Glanville,36,
Jack Graney,36,
Mike Hershberger,36,
Kelly Johnson,36,
George Kell,36,
Corey Koskie,36,
Gary Matthews,36,
Roy McMillan,36,
Mike Menosky,36,
Roger Metzger,36,
Charlie Neal,36,
Graig Nettles,36,
Ivy Olson,36,
Larry Parrish,36,
Tommy Pham,36,
Kevin Pillar,36,
Nick Punto,36,
Topper Rigney,36,
Amed Rosario,36,
Ken Singleton,36,
Bob Skinner,36,
Trevor Story,36,
John Wathan,36,
Gus Bell,35,925
Wade Boggs,35,
Lute Boone,35,
Ed Brinkman,35,
Damon Buford,35,
Chris Chambliss,35,
Ed Charles,35,
Pete Coscarart,35,
Rick Ferrell,35,
Paul Goldschmidt,35,
David Green,35,
Aaron Hill,35,
Glenn Hubbard,35,
Adam Jones,35,
Cookie Lavagetto,35,
Mark Loretta,35,
Lee May,35,
Danny Moeller,35,
Jose Pagan,35,
Vic Power,35,
Pat Sheridan,35,
Homer Summa,35,
Ted Uhlaender,35,
Walt Weiss,35,
Matt Williams,35,
Javier Báez,34,950
Harold Baines,34,
Rick Bosetti,34,
Bobby Brown,34,
Brandon Crawford,34,
George Harper,34,
Richard Hidalgo,34,
Dick Howser,34,
Lee Maye,34,
Cedric Mullins,34,
Pete O'Brien,34,
Miguel Olivo,34,
Wes Parker,34,
Cy Perkins,34,
Charlie Pick,34,
Jim Rice,34,
Roy Smalley,34,
Mallex Smith,34,
Drew Stubbs,34,
Michael Taylor,34,
Hank Bauer,33,970
Michael Brantley,33,
Jacob Brumfield,33,
Brady Clark,33,
Paul Dade,33,
Chuck Diering,33,
Ron Fairly,33,
Carlos Garcia,33,
Chris Gomez,33,
Carlos González,33,
Johnny Grubb,33,
Kelly Gruber,33,
Bert Haas,33,
Enzo Hernandez,33,
Omar Infante,33,
Maicer Izturis,33,
Jon Jay,33,
Benny Kauff,33,
Ken Keltner,33,
Jason Kipnis,33,
Candy Maldonado,33,
Mike Marshall,33,
Austin McHenry,33,
Larry Milbourne,33,
Keith Moreland,33,
Wil Myers,33,
Jose Oquendo,33,
Albie Pearson,33,
Tony Perez,33,
Jorge Polanco,33,
Doug Rader,33,1000
Manny Ramirez,33,
Lew Riggs,33,
Al Rosen,33,
Jack Rothrock,33,
Dick Siebert,33,
Ted Simmons,33,
Rusty Staub,33,
Billy Sullivan,33,
Rob Wilfong,33,
Taffy Wright,33,
Al Zarilla,33,
