Name,OPS,Rank
Babe Ruth,1.164 (1.1636),1
Ted Williams,1.115 (1.1155),2
Lou Gehrig,1.080 (1.0798),3
Barry Bonds,1.051 (1.0512),4
Jimmie Foxx,1.038 (1.0376),5
Aaron Judge,1.024 (1.0240),6
Hank Greenberg,1.017 (1.0169),7
Rogers Hornsby,1.010 (1.0103),8
Manny Ramirez,0.996 (.99596),9
Mike Trout,0.984 (.98412),10
Mark McGwire,0.982 (.98232),11
Mickey Mantle,0.977 (.97729),12
Joe DiMaggio,0.977 (.97713),13
Stan Musial,0.976 (.97572),14
Frank Thomas,0.974 (.97404),15
Larry Walker,0.965 (.96545),16
Johnny Mize,0.959 (.95909),17
Jim Thome,0.956 (.95601),18
Todd Helton,0.953 (.95341),19
Jeff Bagwell,0.948 (.94795),20
Mel Ott,0.947 (.94707),21
Juan Soto,0.947 (.94687),22
Ralph Kiner,0.946 (.94589),23
Ty Cobb,0.945 (.94495),24
Lance Berkman,0.943 (.94294),25
Willie Mays,0.941 (.94138),26
Joe Jackson,0.940 (.94010),27
Hack Wilson,0.940 (.93987),28
Albert Belle,0.933 (.93328),29
Edgar Martinez,0.933 (.93326),30
Dan Brouthers,0.932 (.93194),31
Vladimir Guerrero,0.931 (.93117),32
David Ortiz,0.931 (.93103),33
Chipper Jones,0.930 (.93048),34
Harry Heilmann,0.930 (.93002),35
Alex Rodriguez,0.930 (.92987),36
Carlos Delgado,0.929 (.92932),37
Hank Aaron,0.928 (.92846),38
Earl Averill,0.928 (.92830),39
Tris Speaker,0.928 (.92829),40
Charlie Keller,0.928 (.92758),41
Frank Robinson,0.926 (.92594),42
Ken Williams,0.924 (.92377),43
Chuck Klein,0.922 (.92180),44
Mike Piazza,0.922 (.92172),45
Joey Votto,0.920 (.92048),46
Duke Snider,0.919 (.91945),47
Albert Pujols,0.918 (.91806),48
Ed Delahanty,0.917 (.91652),49
Jason Giambi,0.916 (.91573),50
Babe Herman,0.915 (.91481),51
Al Simmons,0.915 (.91472),52
Dick Allen,0.912 (.91171),53
Mike Schmidt,0.908 (.90755),54
"Ken Griffey, Jr.",0.907 (.90731),55
Bryce Harper,0.907 (.90721),56
Gary Sheffield,0.907 (.90698),57
Mo Vaughn,0.906 (.90582),58
Juan Gonzalez,0.904 (.90392),59
Jim Edmonds,0.903 (.90303),60
Brian Giles,0.902 (.90220),61
Miguel Cabrera,0.900 (.90050),62
Freddie Freeman,0.899 (.89936),63
Bob Johnson,0.899 (.89869),64
Bill Terry,0.899 (.89866),65
Chick Hafey,0.898 (.89795),66
Mickey Cochrane,0.897 (.89701),67
Hal Trosky,0.892 (.89232),68
Ryan Braun,0.891 (.89062),69
Willie McCovey,0.889 (.88915),70
Matt Holliday,0.889 (.88890),71
Willie Stargell,0.889 (.88867),72
Paul Goldschmidt,0.889 (.88864),73
Mookie Betts,0.889 (.88863),74
Prince Fielder,0.887 (.88731),75
Billy Hamilton,0.887 (.88723),76
Goose Goslin,0.887 (.88671),77
Fred McGriff,0.886 (.88600),78
Eddie Mathews,0.885 (.88549),79
Rafael Palmeiro,0.885 (.88522),80
Moises Alou,0.885 (.88501),81
Harmon Killebrew,0.884 (.88418),82
Charlie Gehringer,0.884 (.88410),83
Tim Salmon,0.884 (.88362),84
Jackie Robinson,0.883 (.88257),85
Sam Thompson,0.883 (.88253),86
Nomar Garciaparra,0.882 (.88207),87
Wally Berger,0.881 (.88054),88
Will Clark,0.880 (.88014),89
Kevin Mitchell,0.880 (.88008),90
Dolph Camilli,0.880 (.87996),91
Riggs Stephenson,0.880 (.87966),92
Al Rosen,0.879 (.87923),93
Jeff Heath,0.879 (.87885),94
David Justice,0.878 (.87784),95
Paul Waner,0.878 (.87774),96
Sammy Sosa,0.878 (.87752),97
Larry Doby,0.876 (.87595),98
John McGraw,0.875 (.87549),99
Jack Fournier,0.875 (.87538),100
Travis Hafner,0.874 (.87402),101
Ellis Burks,0.874 (.87369),102
J.D. Drew,0.873 (.87323),103
Tommy Henrich,0.873 (.87314),104
Roger Connor,0.873 (.87285),105
Magglio Ordonez,0.871 (.87096),106
Ryan Klesko,0.870 (.87035),107
Giancarlo Stanton,0.870 (.87020),108
Bobby Abreu,0.870 (.86974),109
Jim Bottomley,0.869 (.86948),110
Mark Teixeira,0.869 (.86944),111
Pete Browning,0.869 (.86942),112
Bill Dickey,0.868 (.86811),113
Jose Canseco,0.867 (.86726),114
David Wright,0.867 (.86713),115
Joe Medwick,0.867 (.86683),116
Corey Seager,0.865 (.86516),117
Josh Hamilton,0.865 (.86501),118
Rusty Greer,0.865 (.86492),119
Danny Tartabull,0.864 (.86423),120
J.D. Martinez,0.863 (.86314),121
John Olerud,0.863 (.86293),122
Norm Cash,0.862 (.86242),123
Darryl Strawberry,0.862 (.86187),124
Jesse Burkett,0.862 (.86150),125
Kevin Youkilis,0.861 (.86067),126
Roy Campanella,0.860 (.85986),127
Kiki Cuyler,0.860 (.85980),128
Honus Wagner,0.860 (.85980),
Derrek Lee,0.859 (.85934),130
Earle Combs,0.859 (.85927),131
Arky Vaughan,0.859 (.85927),
José Ramírez,0.859 (.85877),133
Ryan Howard,0.859 (.85865),134
Gabby Hartnett,0.858 (.85840),135
Matt Olson,0.858 (.85837),136
Rafael Devers,0.858 (.85833),137
Bernie Williams,0.858 (.85825),138
Wade Boggs,0.858 (.85770),139
Gavvy Cravath,0.858 (.85762),140
Joe Cronin,0.857 (.85740),141
George Brett,0.857 (.85668),142
Nelson Cruz,0.856 (.85598),143
Troy Tulowitzki,0.856 (.85560),144
Heinie Manush,0.856 (.85551),145
Al Kaline,0.855 (.85524),146
Jeff Kent,0.855 (.85516),147
Reggie Smith,0.855 (.85493),148
Scott Rolen,0.855 (.85486),149
Jack Clark,0.854 (.85431),150
Adam Dunn,0.854 (.85416),151
Jim Rice,0.854 (.85393),152
Mike Donlin,0.854 (.85392),153
George Grantham,0.854 (.85360),154
Billy Williams,0.853 (.85330),155
Eddie Collins,0.853 (.85318),156
Joe Kelley,0.853 (.85286),157
Bob Meusel,0.852 (.85244),158
Alex Bregman,0.852 (.85218),159
Ripper Collins,0.852 (.85212),160
Jay Buhner,0.852 (.85210),161
Mike Sweeney,0.851 (.85130),162
Nolan Arenado,0.851 (.85110),163
Frank Howard,0.851 (.85105),164
Richie Sexson,0.851 (.85058),165
Ted Kluszewski,0.850 (.85044),166
Kris Bryant,0.850 (.85018),167
Denny Lyons,0.850 (.85016),168
Tip O'Neill,0.850 (.84998),169
Pedro Guerrero,0.850 (.84993),170
Shawn Green,0.850 (.84969),171
Orlando Cepeda,0.849 (.84933),172
Mike Tiernan,0.848 (.84842),173
Nap Lajoie,0.848 (.84840),174
Jorge Posada,0.848 (.84810),175
Minnie Minoso,0.848 (.84800),176
Rocky Colavito,0.848 (.84782),177
Kent Hrbek,0.848 (.84751),178
Troy Glaus,0.847 (.84745),179
George Sisler,0.847 (.84744),180
Josh Donaldson,0.847 (.84716),181
Bob Nieman,0.847 (.84708),182
Tony Gwynn,0.847 (.84679),183
Hanley Ramirez,0.847 (.84652),184
Tony Lazzeri,0.846 (.84637),185
Edwin Encarnacion,0.846 (.84632),186
Andres Galarraga,0.846 (.84582),187
Gil Hodges,0.846 (.84574),188
Reggie Jackson,0.846 (.84567),189
Rudy York,0.845 (.84549),190
Luis Gonzalez,0.845 (.84547),191
Fred Lynn,0.845 (.84451),192
Cap Anson,0.844 (.84422),193
Carlos González,0.843 (.84297),194
Adrian Gonzalez,0.843 (.84282),195
John Stone,0.843 (.84282),
Hank Sauer,0.843 (.84278),197
Sid Gordon,0.843 (.84273),198
John Kruk,0.842 (.84237),199
Carl Yastrzemski,0.842 (.84150),200
Jason Bay,0.841 (.84132),201
Eric Davis,0.841 (.84099),202
Paul Konerko,0.841 (.84054),203
Ray Lankford,0.840 (.84049),204
Cliff Floyd,0.840 (.84036),205
Greg Luzinski,0.840 (.84036),
Christian Yelich,0.840 (.84012),207
Dwight Evans,0.840 (.84009),208
Roy Cullenbine,0.840 (.83999),209
Kyle Schwarber,0.840 (.83989),210
Bob Horner,0.839 (.83932),211
Ross Youngs,0.839 (.83922),212
Robinson Cano,0.839 (.83861),213
Carlos Beltran,0.837 (.83688),214
Kirby Puckett,0.837 (.83656),215
George Harper,0.836 (.83570),216
Eddie Murray,0.836 (.83552),217
Jose Bautista,0.835 (.83522),218
Cy Williams,0.835 (.83508),219
Dante Bichette,0.835 (.83488),220
Enos Slaughter,0.834 (.83447),221
Roberto Clemente,0.834 (.83442),222
Elmer Flick,0.834 (.83424),223
Geoff Jenkins,0.834 (.83412),224
Pat Burrell,0.834 (.83382),225
Hugh Duffy,0.834 (.83362),226
Vic Wertz,0.833 (.83343),227
Aramis Ramirez,0.833 (.83334),228
Rico Carty,0.833 (.83325),229
José Abreu,0.833 (.83301),230
Paul O'Neill,0.833 (.83298),231
Charlie Blackmon,0.832 (.83247),232
Matt Stairs,0.832 (.83235),233
Elmer Smith,0.832 (.83164),234
Buster Posey,0.831 (.83132),235
Mike Greenwell,0.831 (.83093),236
Leon Durham,0.831 (.83089),237
Harlond Clift,0.831 (.83081),238
Bill Nicholson,0.830 (.83049),239
Reggie Sanders,0.830 (.83043),240
Alvin Davis,0.830 (.83003),241
Yogi Berra,0.830 (.83001),242
Don Mattingly,0.830 (.82970),243
Ernie Banks,0.830 (.82957),244
Tony Oliva,0.830 (.82953),245
Bobby Bonilla,0.829 (.82909),246
Bob Allison,0.829 (.82905),247
Jackie Jensen,0.829 (.82900),248
Roy Sievers,0.829 (.82870),249
Anthony Rendon,0.829 (.82863),250
Justin Morneau,0.828 (.82823),251
Javy Lopez,0.828 (.82803),252
Trot Nixon,0.828 (.82798),253
Trea Turner,0.828 (.82793),254
Manny Machado,0.828 (.82779),255
Jose Altuve,0.828 (.82767),256
Anthony Rizzo,0.828 (.82759),257
Bob Fothergill,0.828 (.82754),258
Mike Stanley,0.827 (.82736),259
Andrew McCutchen,0.827 (.82721),260
Dave Winfield,0.827 (.82713),261
Joe Mauer,0.827 (.82678),262
Cecil Fielder,0.827 (.82668),263
Ron Santo,0.826 (.82644),264
Jermaine Dye,0.826 (.82617),265
Jeromy Burnitz,0.826 (.82586),266
Dmitri Young,0.826 (.82553),267
Mark Grace,0.825 (.82530),268
Bobby Bonds,0.824 (.82418),269
Ken Singleton,0.824 (.82391),270
Shin-Soo Choo,0.824 (.82370),271
Tony Clark,0.824 (.82362),272
Ketel Marte,0.823 (.82339),273
Josh Willingham,0.823 (.82331),274
Chase Utley,0.823 (.82310),275
Andruw Jones,0.823 (.82308),276
Ben Chapman,0.823 (.82293),277
Bobby Doerr,0.823 (.82270),278
Joe Gordon,0.822 (.82235),279
Boog Powell,0.822 (.82229),280
Rod Carew,0.822 (.82221),281
Harry Stovey,0.822 (.82219),282
Bruce Campbell,0.822 (.82217),283
Joe Adcock,0.822 (.82204),284
Andre Ethier,0.822 (.82194),285
Hideki Matsui,0.822 (.82190),286
Carlos Lee,0.822 (.82173),287
Roger Maris,0.822 (.82157),288
Mike Napoli,0.821 (.82123),289
Matt Kemp,0.821 (.82097),290
Bibb Falk,0.821 (.82059),291
Keith Hernandez,0.821 (.82050),292
Harold Baines,0.820 (.82035),293
Jimmy Ryan,0.820 (.82023),294
Joe Cunningham,0.820 (.82019),295
Ferris Fain,0.820 (.82000),296
Bing Miller,0.820 (.81998),297
Rickey Henderson,0.820 (.81982),298
Dixie Walker,0.820 (.81978),299
Henry Larkin,0.819 (.81947),300
Joe Morgan,0.819 (.81917),301
Alfonso Soriano,0.819 (.81909),302
Adrián Beltré,0.819 (.81897),303
Richie Zisk,0.818 (.81847),304
Carlos Correa,0.818 (.81835),305
George Foster,0.818 (.81831),306
Ernie Lombardi,0.818 (.81819),307
Francisco Lindor,0.818 (.81784),308
Mickey Tettleton,0.818 (.81771),309
Eric Chavez,0.818 (.81757),310
Johnny Bench,0.817 (.81749),311
Zack Wheat,0.817 (.81749),
Brandon Belt,0.817 (.81731),313
George Springer,0.817 (.81714),314
Paul Molitor,0.817 (.81705),315
Gene Woodling,0.817 (.81705),
Joe Torre,0.817 (.81694),317
Wally Moon,0.817 (.81684),318
Derek Jeter,0.817 (.81678),319
Gene Tenace,0.817 (.81660),320
Justin Turner,0.816 (.81624),321
Ryan Zimmerman,0.816 (.81570),322
Jayson Werth,0.816 (.81556),323
Raul Mondesi,0.815 (.81548),324
Vern Stephens,0.815 (.81536),325
Tino Martinez,0.815 (.81517),326
Gus Zernial,0.815 (.81493),327
Barry Larkin,0.815 (.81490),328
Dale Murphy,0.815 (.81489),329
Kirk Gibson,0.815 (.81484),330
Cliff Johnson,0.815 (.81461),331
Edd Roush,0.815 (.81461),
Bob Elliott,0.815 (.81455),333
Victor Martinez,0.815 (.81452),334
Matt Carpenter,0.815 (.81451),335
Phil Nevin,0.814 (.81438),336
Fred Clarke,0.814 (.81432),337
Sean Casey,0.814 (.81425),338
Bernie Carbo,0.814 (.81412),339
Roberto Alomar,0.814 (.81410),340
John Valentin,0.814 (.81398),341
Oyster Burns,0.814 (.81389),342
Sam Crawford,0.814 (.81388),343
Cody Bellinger,0.814 (.81357),344
Russell Branyan,0.814 (.81352),345
Curt Walker,0.813 (.81344),346
Carl Furillo,0.813 (.81301),347
Bobby Higginson,0.813 (.81279),348
Irish Meusel,0.813 (.81272),349
Jim Ray Hart,0.813 (.81267),350
Justin Upton,0.812 (.81168),351
Del Ennis,0.812 (.81165),352
Bobby Veach,0.812 (.81162),353
Andre Thornton,0.811 (.81129),354
Chili Davis,0.811 (.81105),355
Bob Watson,0.811 (.81092),356
Charlie Maxwell,0.811 (.81086),357
Oscar Gamble,0.811 (.81066),358
Tim Raines,0.810 (.81041),359
Ken Boyer,0.810 (.81040),360
Kevin Millar,0.810 (.81014),361
Augie Galan,0.810 (.80984),362
Marcell Ozuna,0.810 (.80973),363
Dave Parker,0.810 (.80962),364
Carlos Pena,0.809 (.80854),365
Willson Contreras,0.808 (.80839),366
Wally Post,0.808 (.80769),367
Teoscar Hernández,0.808 (.80767),368
Buck Freeman,0.808 (.80752),369
Baby Doll Jacobson,0.807 (.80738),370
Bill Madlock,0.807 (.80722),371
Smoky Burgess,0.807 (.80714),372
Greg Vaughn,0.807 (.80699),373
Joe Vosmik,0.807 (.80693),374
Corey Hart,0.807 (.80673),375
Roy Johnson,0.806 (.80642),376
Bill White,0.806 (.80631),377
Stan Spence,0.806 (.80623),378
Grady Sizemore,0.806 (.80616),379
Aubrey Huff,0.806 (.80576),380
Dick Stuart,0.806 (.80564),381
Robin Ventura,0.806 (.80562),382
Andre Dawson,0.806 (.80553),383
Hal McRae,0.805 (.80535),384
Mike Lowell,0.805 (.80533),385
Matt Williams,0.805 (.80521),386
Home Run Baker,0.805 (.80519),387
Michael Cuddyer,0.805 (.80505),388
Dale Long,0.805 (.80498),389
Cupid Childs,0.805 (.80470),390
Dustin Pedroia,0.805 (.80460),391
Tony Perez,0.804 (.80444),392
Milton Bradley,0.804 (.80429),393
Jason Thompson,0.804 (.80414),394
Jose Vidro,0.804 (.80404),395
George Van Haltren,0.804 (.80394),396
Joe Sewell,0.804 (.80379),397
Rick Monday,0.804 (.80370),398
Evan Longoria,0.804 (.80368),399
Carl Reynolds,0.804 (.80368),
Mike Easler,0.804 (.80365),401
Glenallen Hill,0.804 (.80363),402
Ron Gant,0.803 (.80333),403
Lu Blue,0.803 (.80276),404
Curtis Granderson,0.803 (.80269),405
Cecil Cooper,0.803 (.80254),406
Wes Covington,0.803 (.80254),
Earl Torgeson,0.802 (.80248),408
Willie Keeler,0.802 (.80244),409
Carl Everett,0.802 (.80234),410
Gary Matthews,0.802 (.80228),411
Dom DiMaggio,0.802 (.80225),412
Bobby Murcer,0.802 (.80200),413
Wally Joyner,0.802 (.80194),414
David Segui,0.802 (.80166),415
Jimmy Wynn,0.802 (.80155),416
Frank Catalanotto,0.802 (.80151),417
Jesse Barfield,0.801 (.80150),418
Ron Northey,0.801 (.80137),419
Barney McCosky,0.801 (.80084),420
Joc Pederson,0.801 (.80084),
Buck Ewing,0.801 (.80075),422
Frankie Frisch,0.801 (.80072),423
Pepper Martin,0.801 (.80068),424
Raul Ibanez,0.801 (.80056),425
Sam Rice,0.801 (.80056),
Freddie Lindstrom,0.800 (.80040),427
Glenn Davis,0.800 (.79963),428
Sixto Lezcano,0.799 (.79935),429
Spud Davis,0.799 (.79918),430
Andy Pafko,0.799 (.79904),431
John Mayberry,0.799 (.79902),432
Larry Hisle,0.799 (.79896),433
Rondell White,0.799 (.79880),434
Corey Dickerson,0.799 (.79872),435
Taffy Wright,0.799 (.79869),436
Nick Swisher,0.799 (.79867),437
Ron Cey,0.799 (.79854),438
Don Mincher,0.798 (.79821),439
Carlos Guillen,0.798 (.79811),440
Tommy Holmes,0.798 (.79799),441
Adam LaRoche,0.798 (.79785),442
Luke Appling,0.798 (.79782),443
Joe Judge,0.798 (.79769),444
Paul Sorrento,0.798 (.79766),445
Ivan Rodriguez,0.798 (.79756),446
Pinky Higgins,0.797 (.79750),447
Carlton Fisk,0.797 (.79741),448
Xander Bogaerts,0.797 (.79726),449
Bill Mueller,0.797 (.79723),450
Pie Traynor,0.797 (.79718),451
Vinny Castilla,0.797 (.79716),452
Chet Lemon,0.797 (.79711),453
Steve Kemp,0.797 (.79703),454
Preston Wilson,0.797 (.79699),455
Ival Goodman,0.797 (.79690),456
Jake Beckley,0.796 (.79650),457
Craig Biggio,0.796 (.79640),458
Daniel Murphy,0.796 (.79631),459
Dean Palmer,0.796 (.79627),460
Gus Suhr,0.796 (.79597),461
Jeff Cirillo,0.796 (.79591),462
Hughie Jennings,0.796 (.79580),463
Walker Cooper,0.796 (.79577),464
Brian Downing,0.796 (.79563),465
Sam West,0.796 (.79556),466
Ryne Sandberg,0.795 (.79549),467
Billy Butler,0.795 (.79548),468
Buddy Myer,0.795 (.79545),469
Al Oliver,0.795 (.79544),470
Leon Wagner,0.795 (.79541),471
King Kelly,0.795 (.79529),472
Mike Griffin,0.795 (.79526),473
Adam Lind,0.795 (.79506),474
Lou Boudreau,0.795 (.79504),475
Jeff Burroughs,0.795 (.79465),476
High Pockets Kelly,0.794 (.79449),477
Kenny Lofton,0.794 (.79443),478
Hal Morris,0.794 (.79426),479
Hunter Pence,0.794 (.79421),480
Bobby Grich,0.794 (.79417),481
Wally Schang,0.794 (.79389),482
Bobby Thomson,0.794 (.79389),
Michael Brantley,0.794 (.79357),484
Ken Caminiti,0.794 (.79351),485
Eugenio Suárez,0.793 (.79339),486
Lenny Dykstra,0.793 (.79306),487
Rusty Staub,0.793 (.79304),488
Torii Hunter,0.793 (.79295),489
Eddie Robinson,0.793 (.79295),
Nick Castellanos,0.792 (.79232),491
John Vander Wal,0.792 (.79212),492
Odell Hale,0.792 (.79209),493
Jerry Lynch,0.792 (.79201),494
Darrell Evans,0.792 (.79177),495
Ian Happ,0.792 (.79176),496
Andy Van Slyke,0.792 (.79173),497
Norm Siebern,0.792 (.79168),498
Matt Chapman,0.792 (.79167),499
Jim Lemon,0.792 (.79158),500
