Name,Wins,Rank
Cy Young,511,1
Walter Johnson,417,2
Grover Alexander,373,3
Christy Mathewson,373,4
Warren Spahn,363,5
Pud Galvin,361,6
Kid Nichols,361,7
Greg Maddux,355,8
Roger Clemens,354,9
Tim Keefe,342,10
Steve Carlton,329,11
John Clarkson,328,12
Eddie Plank,326,13
Nolan Ryan,324,14
Don Sutton,324,15
Phil Niekro,318,16
Gaylord Perry,314,17
Tom Seaver,311,18
Old Hoss Radbourn,309,19
Mickey Welch,307,20
Tom Glavine,305,21
Randy Johnson,303,22
Lefty Grove,300,23
Early Wynn,300,24
Tommy John,288,25
Bert Blyleven,287,26
Robin Roberts,286,27
Fergie Jenkins,284,28
Tony Mullane,284,29
Jim Kaat,283,30
Red Ruffing,273,31
Burleigh Grimes,270,32
Mike Mussina,270,33
Jamie Moyer,269,34
Jim Palmer,268,35
Bob Feller,266,36
Eppa Rixey,266,37
Jim McCormick,265,38
Gus Weyhing,264,39
Justin Verlander,262,40
Ted Lyons,260,41
Andy Pettitte,256,42
Red Faber,254,43
Jack Morris,254,44
Carl Hubbell,253,45
Bob Gibson,251,46
CC Sabathia,251,47
Vic Willis,249,48
Bartolo Colon,247,49
Jack Quinn,247,50
Joe McGinnity,246,51
Amos Rusie,246,52
Dennis Martinez,245,53
Jack Powell,245,54
Juan Marichal,243,55
Herb Pennock,240,56
Frank Tanana,240,57
Mordecai Brown,239,58
David Wells,239,59
Clark Griffith,237,60
Waite Hoyt,237,61
Whitey Ford,236,62
Charlie Buffinton,233,63
Sad Sam Jones,229,64
Luis Tiant,229,65
Will White,229,66
George Mullin,228,67
Zack Greinke,225,68
Jim Bunning,224,69
Catfish Hunter,224,70
Paul Derringer,223,71
Mel Harder,223,72
Hooks Dauss,222,73
Tim Hudson,222,74
Jerry Koosman,222,75
Joe Niekro,221,76
Jerry Reuss,220,77
Pedro Martinez,219,78
Kenny Rogers,219,79
Bob Caruthers,218,80
Earl Whitehill,218,81
Freddie Fitzsimmons,217,82
Mickey Lolich,217,83
Wilbur Cooper,216,84
Charlie Hough,216,85
Max Scherzer,216,86
Curt Schilling,216,87
Stan Coveleski,215,88
Clayton Kershaw,215,89
Jim Perry,215,90
Mark Buehrle,214,91
Rick Reuschel,214,92
John Smoltz,213,93
Chief Bender,212,94
Kevin Brown,211,95
Bobo Newsom,211,96
Billy Pierce,211,97
Bob Welch,211,98
Jesse Haines,210,99
Vida Blue,209,100
Don Drysdale,209,101
Milt Pappas,209,102
Eddie Cicotte,208,103
Bob Lemon,207,104
Carl Mays,207,105
Hal Newhouser,207,106
Orel Hershiser,204,107
Al Orth,204,108
Lew Burdette,203,109
Roy Halladay,203,110
Silver King,203,111
Jack Stivetts,203,112
Rube Marquard,201,113
Charlie Root,201,114
Chuck Finley,200,115
Jon Lester,200,116
George Uhle,200,117
Adam Wainwright,200,118
Tim Wakefield,200,119
Jack Chesbro,198,120
Bucky Walters,198,121
Dennis Eckersley,197,122
Larry French,197,123
Bob Friend,197,124
Jesse Tannehill,197,125
Adonis Terry,197,126
Dazzy Vance,197,127
Claude Osteen,196,128
Bullet Joe Bush,195,129
Bob Shawkey,195,130
Ed Walsh,195,131
Babe Adams,194,132
Doyle Alexander,194,133
Tommy Bridges,194,134
David Cone,194,135
Dwight Gooden,194,136
Larry Jackson,194,137
Sam Leever,194,138
Dolf Luque,194,139
Tommy Bond,193,140
Wes Ferrell,193,141
Curt Simmons,193,142
Rube Waddell,193,143
Lon Warneke,192,144
Dutch Leonard,191,145
Jim Whitney,191,146
Lefty Gomez,189,147
Deacon Phillippe,189,148
Doc White,189,149
John Lackey,188,150
Lee Meadows,188,151
Rick Wise,188,152
Brickyard Kennedy,187,153
Urban Shocker,187,154
Bill Donovan,186,155
Jimmy Key,186,156
Tom Zachary,186,157
Mike Cuellar,185,158
Mike Torrez,185,159
Dave McNally,184,160
Art Nehf,184,161
Red Ames,183,162
Bill Hutchison,183,163
Ed Reulbach,182,164
Allie Reynolds,182,165
Mark Langston,179,166
Livan Hernandez,178,167
Hippo Vaughn,178,168
John Candelaria,177,169
Larry Corcoran,177,170
Virgil Trucks,177,171
Guy Bush,176,172
Frank Dwyer,176,173
Derek Lowe,176,174
Dave Stieb,176,175
Frank Viola,176,176
Chick Fraser,175,177
Guy Hecker,175,178
Ken Holtzman,174,179
Camilo Pascual,174,180
Slim Sallee,174,181
Sadie McMahon,173,182
Fernando Valenzuela,173,183
Murry Dickson,172,184
Danny Darwin,171,185
Ed Morris,171,186
Eddie Rommel,171,187
Rick Sutcliffe,171,188
Bill Dinneen,170,189
Ron Guidry,170,190
Dizzy Trout,170,191
Kevin Appier,169,192
Bill Doak,169,193
Felix Hernández,169,194
Bill Lee,169,195
Kevin Millwood,169,196
Bob Forsch,168,197
Dave Stewart,168,198
Alvin Crowder,167,199
Mike Flanagan,167,200
Pink Hawley,167,201
Bret Saberhagen,167,202
Bob Buhl,166,203
John Burkett,166,204
Howard Ehmke,166,205
Ed Lopat,166,206
Bobby Mathews,166,207
Paul Splittorff,166,208
Red Donahue,165,209
Sandy Koufax,165,210
Bill Sherdel,165,211
Javier Vazquez,165,212
Barry Zito,165,213
A.J. Burnett,164,214
Frank Killen,164,215
Mel Stottlemyre,164,216
John Ward,164,217
Wilbur Wood,164,218
Cole Hamels,163,219
Roy Oswalt,163,220
Scott Sanderson,163,221
Nig Cuppy,162,222
Bill Gullickson,162,223
Vern Law,162,224
Al Leiter,162,225
Earl Moore,162,226
Claude Passeau,162,227
Bump Hadley,161,228
Mike Moore,161,229
Theodore Breitenstein,160,230
Addie Joss,160,231
Jack Coombs,158,232
Curt Davis,158,233
Willis Hudlin,158,234
Jeff Pfeffer,158,235
Steve Rogers,158,236
Schoolboy Rowe,158,237
Hal Schumacher,158,238
Ice Box Chamberlain,157,239
Jim Lonborg,157,240
Red Lucas,157,241
David Price,157,242
Freddy Garcia,156,243
Andy Benes,155,244
Doug Drabek,155,245
Rube Walberg,155,246
Mark Baldwin,154,247
Gerrit Cole,153,248
Dan Haren,153,249
Jouett Meekin,153,250
Jesse Barnes,152,251
Rudy May,152,252
Jake Peavy,152,253
Jack Taylor,152,254
Tom Candiotti,151,255
Burt Hooton,151,256
Rick Rhoden,151,257
Ervin Santana,151,258
Jim Slaton,151,259
Rube Benton,150,260
Dizzy Dean,150,261
Rick Porcello,150,262
Jered Weaver,150,263
Don Newcombe,149,264
Bronson Arroyo,148,265
Mike Hampton,148,266
Firpo Marberry,148,267
Johnny Podres,148,268
Brad Radke,148,269
Aaron Sele,148,270
Dave Foutz,147,271
Kyle Lohse,147,272
Stan Bahnsen,146,273
Tim Belcher,146,274
Bob Knepper,146,275
Ron Reed,146,276
Jack Billingham,145,277
Charlie Getzien,145,278
Mudcat Grant,145,279
Bruce Hurst,145,280
James Shields,145,281
Johnny Cueto,144,282
Claude Hendrix,144,283
Dennis Leonard,144,284
Harry Gumbert,143,285
Ray Kremer,143,286
Cliff Lee,143,287
Lance Lynn,143,288
Chris Sale,143,289
Rip Sewell,143,290
Kevin Tapani,143,291
Steve Trachsel,143,292
Hoyt Wilhelm,143,293
Johnny Allen,142,294
Joe Coleman,142,295
Bert Cunningham,142,296
Scott Erickson,142,297
Mike Garcia,142,298
Kevin Gross,142,299
Charlie Morton,142,300
Bobby Witt,142,301
Woodie Fryman,141,302
Matt Kilroy,141,303
Lindy McDaniel,141,304
Sam McDowell,141,305
Mike Morgan,141,306
Jim Clancy,140,307
Charlie Leibrandt,140,308
Sonny Siebert,140,309
Jeff Suppan,140,310
Larry Dierker,139,311
Red Ehret,139,312
Dutch Leonard,139,313
Johnny Sain,139,314
Johan Santana,139,315
Frank Smith,139,316
Fred Toney,139,317
Hooks Wiltse,139,318
Josh Beckett,138,319
George Bradley,138,320
Dock Ellis,138,321
Kid Gleason,138,322
Tom Gordon,138,323
Scott McGregor,138,324
Todd Stottlemyre,138,325
Mike Caldwell,137,326
Joe Dobson,137,327
Dutch Ruether,137,328
Jack Sanford,137,329
Ron Darling,136,330
Jon Garland,136,331
Harvey Haddix,136,332
Harry Staley,136,333
Ramon Martinez,135,334
Joe Nuxhall,135,335
Ray Sadecki,135,336
Chris Short,135,337
Floyd Bannister,134,338
Mike Boddicker,134,339
Madison Bumgarner,134,340
Pete Donohue,134,341
Pat Malone,134,342
Jim Maloney,134,343
Mike McCormick,134,344
Steve Renko,134,345
Nap Rucker,134,346
Gerry Staley,134,347
Harry Brecheen,133,348
Ray Caldwell,133,349
Howie Camnitz,133,350
J.A. Happ,133,351
Darryl Kile,133,352
Fritz Peterson,133,353
Randy Wolf,133,354
Ryan Dempster,132,355
Mark Gubicza,132,356
Danny MacFayden,132,357
George Mogridge,132,358
Vic Raschi,132,359
Woody Williams,132,360
Carlos Zambrano,132,361
Gio Gonzalez,131,362
Pat Hentgen,131,363
Harry Howell,131,364
Tom Hughes,131,365
Jon Lieber,131,366
Denny McLain,131,367
Win Mercer,131,368
Juan Pizarro,131,369
Howie Pollet,131,370
Elden Auker,130,371
Cy Falkenberg,130,372
Noodles Hahn,130,373
Ted Lilly,130,374
Andy Messersmith,130,375
Kirk Rueter,130,376
Jason Schmidt,130,377
Pedro Astacio,129,378
Nelson Briles,129,379
Ned Garver,129,380
Charles Nagy,129,381
Bob Purkey,129,382
Chris Carpenter,128,383
Dean Chance,128,384
Mort Cooper,128,385
Aaron Harang,128,386
Frank Kitson,128,387
Frank Lary,128,388
Joaquin Andujar,127,389
Jim Bagby,127,390
Larry Benton,127,391
George Earnshaw,127,392
Jack McDowell,127,393
Preacher Roe,127,394
Bob Rush,127,395
Lefty Tyler,127,396
Johnny Antonelli,126,397
Larry Gura,126,398
Esteban Loaiza,126,399
John Smiley,126,400
Ed Whitson,126,401
Jon Matlack,125,402
Clarence Mitchell,125,403
Dan Petry,125,404
Bob Ewing,124,405
Rich Gossage,124,406
Ross Grimsley,124,407
Mike Krukow,124,408
Lefty Leifield,124,409
Jason Marquis,124,410
Doc Medich,124,411
Terry Mulholland,124,412
Denny Neagle,124,413
Chan Ho Park,124,414
Gary Peters,124,415
Mike Scott,124,416
Tom Browning,123,417
John Denny,123,418
Al Downing,123,419
Steve Gromek,123,420
Ad Gumbert,123,421
Hideo Nomo,123,422
Mel Parnell,123,423
Dick Ruthven,123,424
Greg Swindell,123,425
Ray Culp,122,426
Pat Dobson,122,427
Dick Donovan,122,428
Carl Erskine,122,429
Larry Jansen,122,430
Steve Barber,121,431
Gary Bell,121,432
Bud Black,121,433
Ed Brandt,121,434
Jeff Fassero,121,435
Yovani Gallardo,121,436
Matt Morris,121,437
Brad Penny,121,438
Dick Rudolph,121,439
Tully Sparks,121,440
Earl Wilson,121,441
R.A. Dickey,120,442
Van Mungo,120,443
Jack Taylor,120,444
Bob Veale,120,445
Bob Groom,119,446
Bill Lee,119,447
Sal Maglie,119,448
Ken Raffensberger,119,449
Bobby Shantz,119,450
Johnny Vander Meer,119,451
Milt Wilcox,119,452
Sonny Gray,118,453
Kirby Higbe,118,454
Darren Oliver,118,455
Jimmy Ring,118,456
Bill Singer,118,457
Ken Hill,117,458
Thornton Lee,117,459
Pedro Ramos,117,460
Tommy Thomas,117,461
John Tudor,117,462
Mike Witt,117,463
Bill Bernhard,116,464
Kid Carsey,116,465
Larry Cheney,116,466
Earl Hamilton,116,467
Joe Horlen,116,468
Corey Kluber,116,469
Jaime Navarro,116,470
Jose Rijo,116,471
Aníbal Sánchez,116,472
Dummy Taylor,116,473
Joe Wood,116,474
Jake Arrieta,115,475
Dave Burba,115,476
Dick Ellsworth,115,477
Bruce Kison,115,478
Bob Ojeda,115,479
Togie Pittinger,115,480
Bob Stanley,115,481
Jeff Tesreau,115,482
Hal Carlson,114,483
Sid Fernandez,114,484
Rollie Fingers,114,485
Ken Forsch,114,486
Ubaldo Jimenez,114,487
Ron Kline,114,488
Bill Monbouquette,114,489
Ricky Nolasco,114,490
Fritz Ostermueller,114,491
Marty Pattin,114,492
Toad Ramsey,114,493
Shane Reynolds,114,494
Billy Rhines,114,495
Sherry Smith,114,496
Tony Cloninger,113,497
Storm Davis,113,498
Dave Goltz,113,499
Russ Ortiz,113,500
Stephen Strasburg,113,501
Carlos Carrasco,112,502
Kyle Gibson,112,503
Fred Goldsmith,112,504
Danny Jackson,112,505
Syl Johnson,112,506
Francisco Liriano,112,507
Jim Bibby,111,508
Watty Clark,111,509
Richard Dotson,111,510
Sam Gray,111,511
Bill Hands,111,512
Pete Harnisch,111,513
Shane Rawley,111,514
Walt Terrell,111,515
Geoff Zahn,111,516
Yu Darvish,110,517
Tim Lincecum,110,518
Jack Lynch,110,519
Gary Nolan,110,520
Bob Tewksbury,110,521
Zack Wheeler,110,522
Paul Byrd,109,523
Spud Chandler,109,524
Denny Galehouse,109,525
Don Gullett,109,526
Jim Hearn,109,527
Rick Honeycutt,109,528
Wade Miley,109,529
Mark Portugal,109,530
Don Robinson,109,531
Ed Stein,109,532
Stan Williams,109,533
Hank Borowy,108,534
Ray Burris,108,535
Rip Collins,108,536
Bill Dietrich,108,537
Dick Drago,108,538
Scott Kazmir,108,539
Max Lanier,108,540
Orval Overall,108,541
Vicente Padilla,108,542
Carl Pavano,108,543
Bob Shaw,108,544
Bryn Smith,108,545
Patrick Corbin,107,546
Alex Fernandez,107,547
Kevin Gausman,107,548
Bob Harmon,107,549
Edwin Jackson,107,550
José Quintana,107,551
J.R. Richard,107,552
Jim Scott,107,553
Chuck Stobbs,107,554
Steve Stone,107,555
Ralph Terry,107,556
Jarrod Washburn,107,557
Turk Farrell,106,558
Fred Frankhouse,106,559
Kirk McCaskill,106,560
Bob Smith,106,561
Whit Wyatt,106,562
Reggie Cleveland,105,563
Mike Leake,105,564
Stu Miller,105,565
Aaron Nola,105,566
Billy O'Dell,105,567
Case Patten,105,568
Flint Rhem,105,569
Jim Tobin,105,570
Michael Wacha,105,571
Bob Walk,105,572
Jake Westbrook,105,573
George Blaeholder,104,574
Matt Cain,104,575
Jorge De La Rosa,104,576
Roy Face,104,577
Ray Herbert,104,578
Sid Hudson,104,579
Ian Kennedy,104,580
Vern Kennedy,104,581
Fred Norman,104,582
Joel Pineiro,104,583
Ismael Valdez,104,584
Jeff Weaver,104,585
Don Wilson,104,586
Steve Blass,103,587
Tiny Bonham,103,588
Dallas Keuchel,103,589
Johnny Morrison,103,590
Mark Mulder,103,591
Dave Roberts,103,592
Jim Rooker,103,593
Jack Scott,103,594
Willie Sudhoff,103,595
Wilson Alvarez,102,596
Miguel Batista,102,597
José Berríos,102,598
Don Cardwell,102,599
Bill Hallahan,102,600
Kyle Hendricks,102,601
Sam Jones,102,602
Ed Killian,102,603
Ellis Kinder,102,604
Jumbo McGinnis,102,605
George Pipgras,102,606
Ed Willett,102,607
Jim Barr,101,608
Ray Benge,101,609
Joe Blanton,101,610
Kelvim Escobar,101,611
Duke Esper,101,612
Shawn Estes,101,613
Si Johnson,101,614
Alex Kellner,101,615
Johnny Klippstein,101,616
Don Mossi,101,617
Eric Show,101,618
Lefty Stewart,101,619
Bob Turley,101,620
George Wiedman,101,621
Tex Carleton,100,622
Doc Crandall,100,623
Ray Fisher,100,624
Dave Giusti,100,625
Moose Haas,100,626
Randy Jones,100,627
Monte Pearson,100,628
Zane Smith,100,629
Mario Soto,100,630
Dick Tidrow,100,631
Brett Tomko,100,632
Clyde Wright,100,633
Jimmy Callahan,99,634
Charlie Ferguson,99,635
Russ Ford,99,636
Mark Gardner,99,637
Joey Jay,99,638
Sparky Lyle,99,639
Joe Shaute,99,640
Al Smith,99,641
George Suggs,99,642
Elam Vangilder,99,643
Jason Vargas,99,644
Andy Ashby,98,645
Al Benton,98,646
LaMarr Hoyt,98,647
Mike LaCoss,98,648
Guy Morton,98,649
Jim O'Toole,98,650
Vic Aldridge,97,651
Jim Bagby,97,652
Al Brazle,97,653
Milt Gaston,97,654
Billy Hoeft,97,655
Mike Marshall,97,656
Brett Myers,97,657
Bob Rhoads,97,658
Wandy Rodriguez,97,659
Scott Stratton,97,660
Frank Sullivan,97,661
Bill Walker,97,662
Jake Weimer,97,663
Jamey Wright,97,664
Steve Avery,96,665
Clay Carroll,96,666
Dan Casey,96,667
Frank Foreman,96,668
Gene Garber,96,669
Jason Hammel,96,670
Tex Hughson,96,671
Dennis Lamp,96,672
Rick Mahler,96,673
Tug McGraw,96,674
Henry Porter,96,675
Phil Regan,96,676
Max Butcher,95,677
Nathan Eovaldi,95,678
George Haddock,95,679
Slim Harriss,95,680
Fred Hutchinson,95,681
Jack Kramer,95,682
Bill Swift,95,683
Edinson Volquez,95,684
Jordan Zimmermann,95,685
Chris Bosio,94,686
Phil Douglas,94,687
Teddy Higuera,94,688
Ted Lewis,94,689
Russ Meyer,94,690
Babe Ruth,94,691
Ben Sheets,94,692
Bill Swift,94,693
Kent Tekulve,94,694
C.J. Wilson,94,695
Matt Garza,93,696
Dick Hall,93,697
Rick Helling,93,698
Johnny Murphy,93,699
Rick Reed,93,700
Johnny Schmitz,93,701
Tom Seaton,93,702
Lary Sorensen,93,703
Pete Vuckovich,93,704
Doug Davis,92,705
Bill Duggleby,92,706
Vean Gregg,92,707
Bill Hoffer,92,708
Dave Koslo,92,709
Cal McLish,92,710
Barney Pelty,92,711
Pol Perritt,92,712
Nels Potter,92,713
Diego Segui,92,714
Vic Sorrell,92,715
Herm Wehmeier,92,716
Tom Brewer,91,717
Lloyd Brown,91,718
Gene Conley,91,719
Jacob deGrom,91,720
Jeremy Guthrie,91,721
Juan Guzman,91,722
George Hemming,91,723
Ken Johnson,91,724
Carl Lundgren,91,725
Erskine Mayer,91,726
Martín Pérez,91,727
Sidney Ponson,91,728
Dennis Rasmussen,91,729
Allen Sothoron,91,730
Clay Buchholz,90,731
John Franco,90,732
Orlando Hernandez,90,733
Rich Hill,90,734
Denny Lemaster,90,735
Don McMahon,90,736
Vinegar Bend Mizell,90,737
John Montefusco,90,738
Ivan Nova,90,739
Henry Boyle,89,740
Clint Brown,89,741
John Curtis,89,742
Erik Hanson,89,743
Bobby Jones,89,744
Terry Larkin,89,745
Jose Lima,89,746
Eric Milton,89,747
Joe Saunders,89,748
Ed Seward,89,749
Sloppy Thurston,89,750
Bobby Bolin,88,751
Ralph Branca,88,752
Moe Drabowsky,88,753
Phil Hughes,88,754
Tom Lovett,88,755
Hugh McQuillan,88,756
Julian Tavarez,88,757
Steve Trout,88,758
Jim Abbott,87,759
Sheriff Blake,87,760
Matt Clement,87,761
Steve Hargan,87,762
John Hiller,87,763
Art Houtteman,87,764
Carl Morton,87,765
Jesse Orosco,87,766
Ramon Ortiz,87,767
Bob Porterfield,87,768
Arthur Rhodes,87,769
Eduardo Rodriguez,87,770
Marcus Stroman,87,771
Brandon Webb,87,772
Rick Aguilera,86,773
Trevor Cahill,86,774
Jose DeLeon,86,775
Cal Eldred,86,776
Jack Fisher,86,777
Paul Foytack,86,778
Grant Jackson,86,779
Lynn McGlothen,86,780
Cliff Melton,86,781
Wiley Piatt,86,782
Tom Underwood,86,783
Jim Wilson,86,784
Kerry Wood,86,785
Hal Brown,85,786
Tommy Byrne,85,787
Jhoulys Chacín,85,788
Jean Dubuc,85,789
Eddie Fisher,85,790
Pat Jarvis,85,791
George McQuillan,85,792
Gene Packard,85,793
Robbie Ray,85,794
Jack Russell,85,795
Carl Weilman,85,796
Ray Collins,84,797
Ike Delock,84,798
Jim Deshaies,84,799
Andy Hawkins,84,800
Al Maul,84,801
Gil Meche,84,802
Willie Mitchell,84,803
Brian Moehler,84,804
Blue Moon Odom,84,805
Carlos Rodón,84,806
Jim Shaw,84,807
Nick Altrock,83,808
Trevor Bauer,83,809
Chad Billingsley,83,810
Ken Brett,83,811
Bill Campbell,83,812
Larry Christenson,83,813
Jim Colborn,83,814
Doug Fister,83,815
Oral Hildebrand,83,816
Jay Hughes,83,817
Mike Minor,83,818
Dupee Shaw,83,819
Ed Siever,83,820
Lee Viau,83,821
George Winter,83,822
Brian Anderson,82,823
Ewell Blackwell,82,824
Dick Bosman,82,825
Frank Castillo,82,826
Bruce Chen,82,827
Max Fried,82,828
Derek Holland,82,829
Jack Knott,82,830
Cory Lidle,82,831
Joe Oeschger,82,832
Frank Owen,82,833
Dave Righetti,82,834
Mariano Rivera,82,835
Lefty Williams,82,836
Homer Bailey,81,837
Harry Coveleski,81,838
Hardie Henderson,81,839
Kyle Kendrick,81,840
Don Larsen,81,841
Rodrigo Lopez,81,842
Jim Merritt,81,843
Roy Patterson,81,844
Doug Rau,81,845
Reb Russell,81,846
Julio Teheran,81,847
Bill Wegman,81,848
Phil Collins,80,849
Al Demaree,80,850
Ed Figueroa,80,851
Art Fromme,80,852
Jose Guzman,80,853
Jack Harper,80,854
Neal Heaton,80,855
Dave LaPoint,80,856
Gary Lavelle,80,857
Billy Loes,80,858
Jose Mesa,80,859
Bob Muncrief,80,860
Pete Richert,80,861
Jeff Samardzija,80,862
Ben Sanders,80,863
Ray Scarborough,80,864
James Baldwin,79,865
Chris Bassitt,79,866
Tom Burgmeier,79,867
Alex Cobb,79,868
John Danks,79,869
Phil Knell,79,870
Ray Kolp,79,871
Hiroki Kuroda,79,872
Doc McJames,79,873
Ron Perranoski,79,874
Rick Waits,79,875
Hank Wyse,79,876
Chris Young,79,877
Oil Can Boyd,78,878
Jose Contreras,78,879
Scott Feldman,78,880
Mickey Haefner,78,881
John Healy,78,882
Tim Leary,78,883
Walt Masterson,78,884
Ben McDonald,78,885
Larry McWilliams,78,886
Cy Morgan,78,887
Melido Perez,78,888
Hyun Jin Ryu,78,889
Jameson Taillon,78,890
Masahiro Tanaka,78,891
Ted Blankenship,77,892
Joe Bowman,77,893
Ernie Broglio,77,894
Chris Capuano,77,895
Luis Castillo,77,896
Al Fitzmorris,77,897
Tom Griffin,77,898
Ken Heintzelman,77,899
Clem Labine,77,900
Colby Lewis,77,901
Paul Maholm,77,902
Sean Manaea,77,903
Red Munger,77,904
Omar Olivares,77,905
Pat Ragan,77,906
Blake Snell,77,907
Bill Wight,77,908
Alex Wood,77,909
Jersey Bakley,76,910
Steve Bedrosian,76,911
Joe Benz,76,912
Mace Brown,76,913
Ben Cantwell,76,914
George Caster,76,915
Aaron Cook,76,916
Kevin Correia,76,917
Ruben Gomez,76,918
Joe Haynes,76,919
Jeremy Hellickson,76,920
Joe Heving,76,921
Al Mamaux,76,922
Bob Moose,76,923
Tanner Roark,76,924
Mike Smithson,76,925
Framber Valdez,76,926
Hank Aguirre,75,927
Bill Bonham,75,928
Hugh Casey,75,929
Dixie Davis,75,930
Ed Doheny,75,931
Mike Fiers,75,932
LaTroy Hawkins,75,933
Clay Kirby,75,934
Lee Richmond,75,935
Elmer Smith,75,936
Dan Spillner,75,937
Mike Timlin,75,938
Al Worthington,75,939
Len Barker,74,940
Mark Clark,74,941
Danny Cox,74,942
Roger Craig,74,943
Chuck Dobson,74,944
Gavin Floyd,74,945
Jon Gray,74,946
Joey Hamilton,74,947
Greg Harris,74,948
Sterling Hitchcock,74,949
Kent Mercker,74,950
Jake Odorizzi,74,951
Oliver Pérez,74,952
Lew Richie,74,953
Chris Tillman,74,954
Bill Voiselle,74,955
Taijuan Walker,74,956
Lady Baldwin,73,957
Doug Bird,73,958
Hugh Daily,73,959
Dave Davenport,73,960
Joe Genewich,73,961
Luke Hamlin,73,962
Dustin Hermanson,73,963
Rick Langford,73,964
Hank O'Day,73,965
James Paxton,73,966
Odalis Perez,73,967
Jeff Reardon,73,968
Clyde Shoun,73,969
Eddie Smith,73,970
David Weathers,73,971
Dick Coffman,72,972
Ed Crane,72,973
Art Ditmar,72,974
Jeff Francis,72,975
Hank Gastright,72,976
Braden Looper,72,977
Jordan Lyles,72,978
Jakie May,72,979
Willie McGill,72,980
Jerry Nops,72,981
Eric Plunk,72,982
Ray Washburn,72,983
Dontrelle Willis,72,984
Erik Bedard,71,985
Jason Bere,71,986
John Buzhardt,71,987
Mark Clear,71,988
Rheal Cormier,71,989
Dave Danforth,71,990
Adam Eaton,71,991
Roberto Hernandez,71,992
Mat Latos,71,993
Collin McHugh,71,994
Harry McIntire,71,995
Matt Moore,71,996
Jack Pfiester,71,997
Allen Russell,71,998
Lee Smith,71,999
Monte Weaver,71,1000
